label,t,f_up_0,f_up_1,f_up_2,f_up_3,f_up_4,f_up_5,f_up_6,f_up_7,f_down_0,f_down_1,f_down_2,f_down_3,f_down_4,f_down_5,f_down_6,f_down_7
0,0.12181121811218112,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
0,0.10946109461094611,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0.17020170201702017,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0.03351033510335103,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0.2809928099280993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0.36099360993609936,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.2617126171261713,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0.2869128691286913,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1,0.3116931169311693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.18569185691856918,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0.25051250512505124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.2991329913299133,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
1,0.04513045130451304,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0.12294122941229411,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0.15590155901559016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.38882388823888236,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0.10758107581075811,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0.16734167341673417,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
1,0.28029280292802927,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0.31908319083190834,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
0,0.12960129601296014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0.045890458904589045,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0.2128821288212882,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
0,0.02299022990229902,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.23582235822358222,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0.26542265422654227,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0.24461244612446123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.18060180601806017,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0,0.07238072380723808,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.2781727817278173,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1,0.1036910369103691,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0.017170171701717016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0.02793027930279303,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0.3305333053330533,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0.10973109731097311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.21789217892178922,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
1,0.2823028230282303,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0.1824718247182472,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0.12665126651266512,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
0,0.3065830658306583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.3273032730327303,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
0,0.2879328793287933,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0.24815248152481525,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0.3923639236392364,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0.16745167451674517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.003930039300393004,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1,0.3943139431394314,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
1,0.37618376183761837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.3945839458394584,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.35936359363593634,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.36296362963629636,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0.02129021290212902,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,0.2891928919289193,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0.2721727217272173,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,0.07879078790787908,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0.0905209052090521,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0.31120311203112033,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,0.22976229762297623,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,0.3451234512345123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2063120631206312,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.2096820968209682,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0.3883538835388354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.3507735077350774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.06671066710667106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.36391363913639135,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0.023960239602396023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.21830218302183022,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0.17927179271792718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.36163361633616337,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,0.2866628666286663,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0.12608126081260812,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0.08644086440864408,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.23968239682396825,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
0,0.15533155331553317,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1,0.04277042770427704,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0.03949039490394904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.3956939569395694,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0.26284262842628425,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0.11259112591125911,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,0.05049050490504905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.13665136651366513,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0.2047920479204792,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0.22517225172251723,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
0,0.3920539205392054,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.09004090040900409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.3888138881388814,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
0,0.20963209632096322,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
1,0.14305143051430513,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,0.23233232332323323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.34911349113491136,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0,0.0926909269092691,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
0,0.25973259732597326,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0.2852228522285223,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0.07895078950789508,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.32912329123291234,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,0.2101521015210152,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
0,0.34942349423494234,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,0.1935619356193562,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
1,0.026480264802648024,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0.23629236292362923,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0.2697226972269723,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0.3287232872328723,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.025260252602526026,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,0.07510075100751007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0.048320483204832045,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.14990149901499014,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0.03403034030340303,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0.12051120511205111,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.26417264172641725,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.014460144601446014,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
1,0.04280042800428004,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
1,0.05627056270562705,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0.17776177761777617,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0,0.38790387903879037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.24086240862408623,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.023850238502385022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0.10673106731067311,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,0.34907349073490734,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.05812058120581206,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,0.3345733457334573,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0.07441074410744107,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,0.3899238992389924,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
0,0.07163071630716307,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0.18955189551895518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.25267252672526724,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2859828598285983,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
1,0.33750337503375033,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0.13679136791367913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0.06599065990659907,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.21233212332123322,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0.013160131601316013,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0.1879518795187952,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
1,0.2971529715297153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,0.16930169301693015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.31333313333133334,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0.12312123121231212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.15241152411524114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0.09422094220942209,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.12488124881248812,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1,0.15301153011530116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.2034520345203452,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,0.2113421134211342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.2178721787217872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.15109151091510914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.3888438884388844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.2038320383203832,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.36555365553655533,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0.11108111081110811,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0.2240022400224002,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,0.05769057690576906,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0.21341213412134122,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0.1944319443194432,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.03011030110301103,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,0.34363343633436333,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,0.15247152471524714,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0.15888158881588815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.35990359903599034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.3982739827398274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.01165011650116501,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0.2023620236202362,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
0,0.2788327883278833,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,0.2769627696276963,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0.024070240702407025,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
0,0.36876368763687634,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
1,0.3547135471354714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0015100151001510014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.24695246952469524,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0.24496244962449623,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1,0.2889828898288983,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
0,0.2964629646296463,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,0.035140351403514035,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0,0.00937009370093701,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08316083160831608,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0,0.11462114621146212,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1,0.35443354433544333,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0.14278142781427813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.25160251602516026,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0.12471124711247113,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0.3183631836318363,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0.3432734327343273,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0.3371133711337113,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1,0.27050270502705026,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1,0.06768067680676806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.12037120371203712,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0.2040120401204012,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0.32855328553285534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.23075230752307524,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0.35454354543545435,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
0,0.2949729497294973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.3821038210382104,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0.3539835398353984,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0
1,0.09190091900919009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0.1959419594195942,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1,0.2037020370203702,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0.0058300583005830055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.34849348493484933,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.2089820898208982,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,0.09333093330933309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.17316173161731618,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0.023690236902369023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0.14684146841468415,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0.3169031690316903,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1,0.1052010520105201,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
1,0.024640246402464025,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0.10793107931079311,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0.27921279212792127,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0.11356113561135611,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1,0.2880628806288063,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0.33926339263392635,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0.07849078490784908,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0.11655116551165512,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,0.04484044840448404,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0.2802028020280203,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0.22077220772207723,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.11748117481174812,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0.07745077450774508,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,0.1795817958179582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.17970179701797018,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0.36740367403674035,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1,0.3217432174321743,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,0.38749387493874937,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0.07006070060700607,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0.13932139321393214,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
0,0.006900069000690007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0.27400274002740027,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0.06562065620656206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.13200132001320014,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0.08001080010800107,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0.32814328143281435,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
0,0.025710257102571025,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
1,0.3299932999329993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.29026290262902626,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0.3633536335363354,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
1,0.26628266282662827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.2123221232212322,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
1,0.13582135821358213,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0.3733937339373394,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,0.04056040560405604,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,0.23737237372373723,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0.016910169101691016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.37366373663736635,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0.23556235562355624,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0.23765237652376522,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.3983639836398364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.2725227252272523,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
0,0.35953359533595336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.3223932239322393,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0.2781027810278103,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
1,0.19120191201912018,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0.25236252362523626,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1,0.27111271112711127,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0.03015030150301503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.012440124401244012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.1901019010190102,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0
1,0.17097170971709716,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,0.25926259262592627,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0.3788237882378824,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.04152041520415204,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0.21222212222122222,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
1,0.33871338713387134,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
1,0.07982079820798207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2783327833278333,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1,0.24302243022430223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.3053430534305343,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,0.2521225212252122,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0.3459434594345943,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0.1924519245192452,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
1,0.26353263532635324,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0.2113221132211322,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0.2771527715277153,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0.2893828938289383,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.08522085220852209,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
0,0.25430254302543026,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0.2970729707297073,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0.17659176591765918,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0.1019010190101901,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0.2802728027280273,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
0,0.1066310663106631,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.3955339553395534,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0.1282212822128221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.22200222002220021,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0.34501345013450135,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.1948219482194822,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
1,0.14600146001460015,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,0.22990229902299023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.3806138061380614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.23774237742377424,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,0.1050710507105071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.1000010000100001,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
0,0.11078110781107811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.15302153021530215,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
